Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Mesh3D_XYZ_Z1,uniform_random,0.050,0.024999,80011,79997,12.5373,3.7433
Mesh3D_XYZ_Z2,uniform_random,0.100,0.049866,159604,159570,13.8360,3.7528
Mesh3D_XYZ_Z1,uniform_random,0.100,0.049866,159604,159571,12.6083,3.7528
Mesh3D_XYZ_Z1,transpose,0.150,0.074994,240036,239982,12.8418,3.7975
Mesh3D_XYZ_Z1,uniform_random,0.150,0.074808,239439,239387,12.6636,3.7559
Mesh3D_XYZ_Z1,uniform_random,0.200,0.099807,319463,319382,12.7159,3.7576
Mesh3D_XYZ_Z1,tornado,0.350,0.174983,560045,559944,9.4992,2.2496
Mesh3D_XYZ_Z1,transpose,0.100,0.049964,159922,159885,12.6907,3.7682
Mesh3D_XYZ_Z2,uniform_random,0.150,0.074806,239439,239380,13.8841,3.7558
Mesh3D_XYZ_Z1,tornado,0.450,0.224824,719555,719436,9.4993,2.2496
Mesh3D_XYZ_Z1,uniform_random,0.350,0.174756,559343,559220,12.9076,3.7719
Mesh3D_XYZ_Z1,tornado,0.500,0.249872,799716,799589,9.4992,2.2496
Mesh3D_XYZ_Z1,uniform_random,0.400,0.199698,639206,639033,12.9863,3.7806
Mesh3D_XYZ_Z1,tornado,0.250,0.125035,400184,400111,9.5007,2.2503
Mesh3D_XYZ_Z2,uniform_random,0.050,0.024998,80011,79995,13.7693,3.7433
Mesh3D_XYZ_Z1,uniform_random,0.450,0.224777,719466,719286,13.0893,3.7962
Mesh3D_XYZ_Z1,transpose,0.350,0.174418,558315,558137,80.3817,3.9007
Mesh3D_XYZ_Z1,uniform_random,0.500,0.249803,799563,799369,13.1970,3.8087
Mesh3D_XYZ_Z1,transpose,0.050,0.025050,80176,80160,12.5849,3.7550
Mesh3D_XYZ_Z1,transpose,0.400,0.191227,612213,611928,794.9615,3.7833
Mesh3D_XYZ_Z1,tornado,0.300,0.150016,480137,480051,9.4998,2.2499
Mesh3D_XYZ_Z1,transpose,0.300,0.150005,480137,480015,14.3022,3.9570
Mesh3D_XYZ_Z1,tornado,0.200,0.099956,319915,319860,9.5012,2.2506
Mesh3D_XYZ_Z2,transpose,0.050,0.025049,80176,80158,13.8418,3.7550
Mesh3D_XYZ_Z1,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Mesh3D_XYZ_Z1,transpose,0.450,0.197996,633920,633586,2065.8101,3.6329
Mesh3D_XYZ_Z2,transpose,0.100,0.049963,159922,159882,13.9576,3.7680
Mesh3D_XYZ_Z2,uniform_random,0.350,0.174752,559343,559206,14.1495,3.7711
Mesh3D_XYZ_Z1,tornado,0.150,0.074999,240036,239998,9.5006,2.2503
Mesh3D_XYZ_Z1,uniform_random,0.250,0.124864,399653,399566,12.7672,3.7578
Mesh3D_XYZ_Z1,transpose,0.250,0.125027,400184,400087,13.4163,3.9018
Mesh3D_XYZ_Z2,transpose,0.150,0.074993,240036,239977,14.1391,3.7960
Mesh3D_XYZ_Z1,uniform_random,0.300,0.149828,479559,479451,12.8333,3.7641
Mesh3D_XYZ_Z2,tornado,0.050,0.025051,80176,80162,9.5023,2.2512
Mesh3D_XYZ_Z1,tornado,0.050,0.025051,80176,80162,9.5023,2.2512
Mesh3D_XYZ_Z1,transpose,0.200,0.099950,319915,319839,13.0700,3.8466
Mesh3D_XYZ_Z2,tornado,0.200,0.099956,319915,319860,9.5012,2.2506
Mesh3D_XYZ_Z4,uniform_random,0.050,0.024998,80011,79994,16.2618,3.7433
Mesh3D_XYZ_Z2,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Mesh3D_XYZ_Z2,uniform_random,0.200,0.099805,319463,319376,13.9368,3.7574
Mesh3D_XYZ_Z2,uniform_random,0.500,0.249796,799563,799347,14.5261,3.8041
Mesh3D_XYZ_Z4,uniform_random,0.100,0.049863,159604,159562,16.3447,3.7527
Mesh3D_XYZ_Z1,tornado,0.400,0.199849,639625,639517,9.4995,2.2497
Mesh3D_XYZ_Z2,tornado,0.150,0.074999,240036,239998,9.5006,2.2503
Mesh3D_XYZ_Z2,tornado,0.300,0.150016,480137,480051,9.4998,2.2499
Mesh3D_XYZ_Z4,uniform_random,0.150,0.074803,239439,239369,16.4024,3.7558
Mesh3D_XYZ_Z2,uniform_random,0.400,0.199694,639206,639021,14.2482,3.7791
Mesh3D_XYZ_Z2,tornado,0.400,0.199849,639625,639517,9.4995,2.2497
Mesh3D_XYZ_Z2,uniform_random,0.250,0.124862,399653,399559,13.9873,3.7576
Mesh3D_XYZ_Z2,transpose,0.400,0.184922,592092,591751,1356.9769,3.6792
Mesh3D_XYZ_Z2,uniform_random,0.450,0.224772,719466,719271,14.3813,3.7932
Mesh3D_XYZ_Z2,tornado,0.350,0.174983,560045,559944,9.4992,2.2496
Mesh3D_XYZ_Z2,transpose,0.350,0.173563,555635,555403,181.4553,3.8588
Mesh3D_XYZ_Z4,transpose,0.150,0.074991,240036,239970,16.8985,3.7959
Mesh3D_XYZ_Z2,transpose,0.200,0.099947,319915,319829,14.4249,3.8421
Mesh3D_XYZ_Z2,transpose,0.300,0.150000,480137,479999,16.2199,3.9320
Mesh3D_XYZ_Z4,transpose,0.200,0.099943,319915,319816,17.7772,3.8443
Mesh3D_XYZ_Z2,uniform_random,0.300,0.149823,479559,479435,14.0589,3.7636
Mesh3D_XYZ_Z1,transpose,0.500,0.203333,651029,650667,3131.0329,3.5103
Mesh3D_XYZ_Z2,transpose,0.500,0.196386,628832,628436,3640.4637,3.4521
Mesh3D_XYZ_Z4,uniform_random,0.400,0.199680,639206,638977,17.2012,3.7768
Mesh3D_XYZ_Z4,uniform_random,0.300,0.149819,479559,479420,16.7172,3.7631
Mesh3D_XYZ_Z4,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Mesh3D_XYZ_Z2,transpose,0.250,0.125024,400184,400076,14.8860,3.8909
Mesh3D_XYZ_Z4,tornado,0.050,0.025051,80176,80162,9.5023,2.2512
Mesh3D_XYZ_Z4,tornado,0.150,0.074999,240036,239998,9.5006,2.2503
Mesh3D_XYZ_Z4,transpose,0.100,0.049962,159922,159880,16.5245,3.7677
Mesh3D_XYZ_Z4,transpose,0.050,0.025049,80176,80158,16.3588,3.7550
Mesh3D_XYZ_Z4,tornado,0.200,0.099956,319915,319860,9.5012,2.2506
Mesh3D_XYZ_Z2,tornado,0.500,0.249872,799716,799589,9.4992,2.2496
Mesh3D_XYZ_Z2,tornado,0.250,0.125035,400184,400111,9.5007,2.2503
Mesh3D_XYZ_Z4,uniform_random,0.200,0.099798,319463,319353,16.4856,3.7574
Mesh3D_XYZ_Z4,tornado,0.250,0.125035,400184,400111,9.5007,2.2503
Mesh3D_XYZ_Z4,uniform_random,0.450,0.224756,719466,719220,17.6337,3.7898
Sparse3D_Pillars_Z1,uniform_random,0.100,0.049866,159604,159571,13.6362,4.1718
Sparse3D_Pillars_Z1,uniform_random,0.150,0.074806,239439,239380,13.9874,4.2325
Mesh3D_XYZ_Z4,transpose,0.350,0.144291,462136,461730,2908.9000,3.5404
Sparse3D_Pillars_Z1,transpose,0.050,0.025050,80176,80160,13.1655,4.0173
Mesh3D_XYZ_Z4,uniform_random,0.350,0.174742,559343,559174,16.9295,3.7701
Mesh3D_XYZ_Z4,tornado,0.400,0.199849,639625,639517,9.4995,2.2497
Mesh3D_XYZ_Z2,tornado,0.450,0.224824,719555,719436,9.4993,2.2496
Mesh3D_XYZ_Z4,tornado,0.500,0.249872,799716,799589,9.4992,2.2496
Mesh3D_XYZ_Z4,uniform_random,0.250,0.124855,399653,399537,16.5739,3.7574
Sparse3D_Pillars_Z1,uniform_random,0.050,0.024998,80011,79995,13.3847,4.1247
Mesh3D_XYZ_Z4,tornado,0.300,0.150016,480137,480051,9.4998,2.2499
Mesh3D_XYZ_Z4,transpose,0.400,0.148276,474935,474483,4298.6305,3.3983
Mesh3D_XYZ_Z4,uniform_random,0.500,0.249775,799563,799279,18.3106,3.7998
Sparse3D_Pillars_Z1,uniform_random,0.250,0.028906,93006,92500,8349.8418,4.6039
Sparse3D_Pillars_Z1,tornado,0.050,0.025051,80176,80162,9.5023,2.2512
Mesh3D_XYZ_Z4,transpose,0.450,0.150660,482558,482113,5707.0139,3.2850
Mesh3D_XYZ_Z4,transpose,0.250,0.124718,399262,399098,76.6654,3.8695
Mesh3D_XYZ_Z4,transpose,0.300,0.137533,440436,440104,1465.8529,3.6665
Sparse3D_Pillars_Z1,uniform_random,0.200,0.099804,319463,319372,14.6484,4.2872
Sparse3D_Pillars_Z1,uniform_random,0.300,0.027322,87943,87430,10669.2079,4.5900
Sparse3D_Pillars_Z1,transpose,0.250,0.118707,380047,379861,822.8973,4.2456
Sparse3D_Pillars_Z1,transpose,0.150,0.074994,240036,239981,14.0222,4.1600
Sparse3D_Pillars_Z1,tornado,0.200,0.099956,319915,319860,9.5012,2.2506
Sparse3D_Pillars_Z1,transpose,0.100,0.049964,159922,159885,13.4386,4.0685
Sparse3D_Pillars_Z2,uniform_random,0.050,0.024998,80011,79994,14.6605,4.1500
Sparse3D_Pillars_Z1,tornado,0.250,0.125035,400184,400111,9.5007,2.2503
Mesh3D_XYZ_Z4,tornado,0.350,0.174983,560045,559944,9.4992,2.2496
Sparse3D_Pillars_Z1,tornado,0.150,0.074999,240036,239998,9.5006,2.2503
Sparse3D_Pillars_Z1,uniform_random,0.500,0.023110,74447,73951,14841.2024,4.7162
Sparse3D_Pillars_Z1,transpose,0.350,0.141298,452464,452155,1705.0119,3.8750
Sparse3D_Pillars_Z2,uniform_random,0.100,0.049866,159604,159570,15.0695,4.2336
Mesh3D_XYZ_Z2,transpose,0.450,0.190406,609670,609298,2696.2742,3.5578
Sparse3D_Pillars_Z1,transpose,0.300,0.132038,422757,422522,1170.2225,4.0370
Sparse3D_Pillars_Z1,uniform_random,0.350,0.027230,87688,87135,12616.9505,4.5590
Sparse3D_Pillars_Z1,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Sparse3D_Pillars_Z1,tornado,0.350,0.174983,560045,559944,9.4992,2.2496
Sparse3D_Pillars_Z1,tornado,0.500,0.249872,799716,799589,9.4992,2.2496
Mesh3D_XYZ_Z4,tornado,0.450,0.224824,719555,719436,9.4993,2.2496
Sparse3D_Pillars_Z1,tornado,0.300,0.150016,480137,480051,9.4998,2.2499
Sparse3D_Pillars_Z1,uniform_random,0.400,0.023567,75903,75415,12008.6721,4.6897
Sparse3D_Pillars_Z2,uniform_random,0.150,0.074801,239439,239364,16.1268,4.3100
Sparse3D_Pillars_Z2,transpose,0.100,0.049963,159922,159882,15.1275,4.1517
Sparse3D_Pillars_Z1,transpose,0.400,0.148505,475575,475216,2480.4628,3.7043
Sparse3D_Pillars_Z1,transpose,0.200,0.099947,319915,319832,16.9179,4.3454
Sparse3D_Pillars_Z2,tornado,0.150,0.074999,240036,239998,9.5006,2.2503
Sparse3D_Pillars_Z2,uniform_random,0.350,0.018633,60160,59626,15371.2960,4.6305
Mesh3D_XYZ_Z4,transpose,0.500,0.153467,491555,491095,6847.1558,3.1774
Sparse3D_Pillars_Z2,uniform_random,0.400,0.016194,52328,51821,14623.4481,4.7076
Sparse3D_Pillars_Z2,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Sparse3D_Pillars_Z2,uniform_random,0.250,0.018387,59326,58838,12345.2097,4.6115
Sparse3D_Pillars_Z2,transpose,0.250,0.103022,329935,329669,1474.5133,3.9554
Sparse3D_Pillars_Z2,transpose,0.050,0.025049,80176,80158,14.5076,4.0528
Sparse3D_Pillars_Z2,tornado,0.200,0.099956,319915,319860,9.5012,2.2506
Sparse3D_Pillars_Z2,uniform_random,0.300,0.016335,52798,52272,12781.3301,4.7502
Sparse3D_Pillars_Z2,transpose,0.300,0.111534,357260,356909,2422.3852,3.7349
Sparse3D_Pillars_Z2,uniform_random,0.500,0.018146,58585,58067,17585.9070,4.6285
Sparse3D_Pillars_Z1,transpose,0.500,0.162499,520393,519998,3834.2990,3.4717
Sparse3D_Pillars_Z4,uniform_random,0.050,0.024998,80011,79994,17.4241,4.2049
Sparse3D_Pillars_Z2,tornado,0.350,0.174983,560045,559944,9.4992,2.2496
Sparse3D_Pillars_Z2,transpose,0.400,0.125515,402047,401649,4177.9259,3.4213
Sparse3D_Pillars_Z2,tornado,0.050,0.025051,80176,80162,9.5023,2.2512
Sparse3D_Pillars_Z2,uniform_random,0.200,0.020376,65694,65202,7945.9485,4.6217
Sparse3D_Pillars_Z1,tornado,0.400,0.199849,639625,639517,9.4995,2.2497
Sparse3D_Pillars_Z4,transpose,0.050,0.025049,80176,80157,17.4702,4.1245
Sparse3D_Pillars_Z2,uniform_random,0.450,0.018199,58795,58236,16857.5050,4.6174
Sparse3D_Pillars_Z2,tornado,0.300,0.150016,480137,480051,9.4998,2.2499
Sparse3D_Pillars_Z1,uniform_random,0.450,0.024817,79918,79415,14010.1994,4.6348
Sparse3D_Pillars_Z4,uniform_random,0.100,0.049861,159604,159556,20.0321,4.3343
Sparse3D_Pillars_Z2,tornado,0.450,0.224824,719555,719436,9.4993,2.2496
Sparse3D_Pillars_Z2,transpose,0.150,0.074982,240036,239943,19.9744,4.3568
Sparse3D_Pillars_Z1,tornado,0.450,0.224824,719555,719436,9.4993,2.2496
Sparse3D_Pillars_Z2,transpose,0.200,0.092890,297428,297248,1042.7123,4.2164
Sparse3D_Pillars_Z4,tornado,0.050,0.025051,80176,80162,9.5023,2.2512
Sparse3D_Pillars_Z1,transpose,0.450,0.156434,500964,500589,3096.7633,3.5829
Sparse3D_Pillars_Z4,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Sparse3D_Pillars_Z4,transpose,0.100,0.049900,159759,159679,47.0609,4.4070
Sparse3D_Pillars_Z4,uniform_random,0.300,0.012093,39286,38696,19168.4754,4.6282
Sparse3D_Pillars_Z4,uniform_random,0.400,0.010989,35681,35166,18936.0622,4.6562
Sparse3D_Pillars_Z4,transpose,0.200,0.070931,227341,226978,2799.6207,3.6287
Sparse3D_Pillars_Z2,tornado,0.400,0.199849,639625,639517,9.4995,2.2497
Sparse3D_Pillars_Z4,tornado,0.250,0.125035,400184,400111,9.5007,2.2503
Sparse3D_Pillars_Z4,uniform_random,0.200,0.010668,34680,34137,14602.9073,4.8089
Sparse3D_Pillars_Z4,uniform_random,0.450,0.011928,38681,38168,21862.4720,4.6458
Sparse3D_Pillars_Z2,tornado,0.250,0.125035,400184,400111,9.5007,2.2503
Cluster3D_Hub_Z1,uniform_random,0.050,0.024998,80011,79993,13.7288,4.3102
Sparse3D_Pillars_Z4,tornado,0.350,0.174983,560045,559944,9.4992,2.2496
Sparse3D_Pillars_Z2,transpose,0.500,0.138123,442409,441994,5082.1587,3.2166
Sparse3D_Pillars_Z4,transpose,0.250,0.077964,249875,249486,4260.5261,3.4140
Sparse3D_Pillars_Z2,tornado,0.500,0.249872,799716,799589,9.4992,2.2496
Sparse3D_Pillars_Z4,uniform_random,0.250,0.011497,37368,36789,16507.8328,4.5905
Sparse3D_Pillars_Z4,transpose,0.300,0.085209,273065,272668,4819.2947,3.2679
Sparse3D_Pillars_Z4,uniform_random,0.350,0.010336,33592,33075,18027.5773,4.7162
Sparse3D_Pillars_Z4,transpose,0.450,0.101730,325971,325536,6610.7984,2.9243
Sparse3D_Pillars_Z4,transpose,0.500,0.107171,343384,342947,6874.8330,2.8375
Sparse3D_Pillars_Z4,transpose,0.150,0.063068,202065,201818,1347.4764,4.0165
Cluster3D_Hub_Z1,transpose,0.050,0.025050,80176,80159,13.6284,4.2666
Sparse3D_Pillars_Z4,tornado,0.450,0.224824,719555,719436,9.4993,2.2496
Cluster3D_Hub_Z1,uniform_random,0.200,0.099802,319463,319367,14.5244,4.4803
Cluster3D_Hub_Z1,transpose,0.100,0.049963,159922,159883,13.8380,4.3184
Sparse3D_Pillars_Z4,tornado,0.300,0.150016,480137,480051,9.4998,2.2499
Sparse3D_Pillars_Z4,tornado,0.400,0.199849,639625,639517,9.4995,2.2497
Sparse3D_Pillars_Z4,transpose,0.350,0.091013,291671,291243,5368.2913,3.1310
Cluster3D_Hub_Z1,uniform_random,0.250,0.124856,399653,399539,15.0548,4.5438
Sparse3D_Pillars_Z2,transpose,0.350,0.118844,380685,380301,3348.5904,3.5383
Sparse3D_Pillars_Z4,tornado,0.200,0.099956,319915,319860,9.5012,2.2506
