Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Mesh_XY,tornado,0.020,0.009959,31874,31869,12.5092,3.7419
Mesh_XY,tornado,0.040,0.019957,63870,63862,12.5369,3.7437
Mesh_XY,tornado,0.080,0.039916,127758,127732,12.6118,3.7552
Mesh_XY,tornado,0.100,0.049965,159922,159887,12.6505,3.7609
Mesh_XY,uniform_random,0.100,0.049864,159604,159565,15.7394,5.2797
Mesh_XY,uniform_random,0.140,0.069803,223429,223369,15.8541,5.2995
Mesh_XY,uniform_random,0.160,0.079813,255476,255403,15.9412,5.3229
Mesh_XY,uniform_random,0.020,0.009930,31785,31776,15.5200,5.2420
Mesh_XY,uniform_random,0.220,0.109856,351639,351539,16.2289,5.3891
Mesh_XY,uniform_random,0.280,0.139830,447620,447456,16.7659,5.4973
Mesh_XY,uniform_random,0.080,0.039831,127496,127459,15.6545,5.2563
Mesh_XY,uniform_random,0.300,0.149812,479559,479398,17.0274,5.5138
Mesh_XY,tornado,0.160,0.079977,255981,255925,12.8161,3.7979
Mesh_XY,uniform_random,0.340,0.169799,543529,543357,17.9521,5.5271
Mesh_XY,uniform_random,0.360,0.179711,575281,575074,18.5573,5.5208
Mesh_XY,tornado,0.180,0.089979,287998,287932,12.8868,3.8149
Mesh_XY,uniform_random,0.040,0.019905,63719,63697,15.5402,5.2344
Mesh_XY,uniform_random,0.420,0.209695,671255,671025,19.8635,5.4713
Mesh_XY,tornado,0.200,0.099950,319915,319841,12.9718,3.8363
Mesh_XY,uniform_random,0.060,0.029932,95802,95782,15.6139,5.2527
Mesh_XY,tornado,0.220,0.110015,352129,352048,13.0682,3.8587
Mesh_XY,uniform_random,0.500,0.249759,799558,799229,21.9337,5.3916
Mesh_XY,uniform_random,0.480,0.239767,767557,767256,21.1665,5.4151
Mesh_XY,tornado,0.060,0.029985,95969,95952,12.5754,3.7501
Mesh_XY,uniform_random,0.260,0.129886,415776,415636,16.5391,5.4590
Mesh_XY,uniform_random,0.200,0.099800,319463,319361,16.1354,5.3729
Mesh_XY,uniform_random,0.240,0.119920,383853,383745,16.3829,5.4290
Mesh_XY,uniform_random,0.380,0.189708,607295,607066,19.1132,5.5054
Mesh_XY,tornado,0.140,0.069972,223956,223911,12.7514,3.7825
Mesh_XY,tornado,0.300,0.150005,480137,480017,13.7065,3.9574
Mesh_XY,uniform_random,0.120,0.059815,191465,191409,15.7840,5.2841
Mesh_XY,uniform_random,0.460,0.229749,735461,735197,20.6359,5.4355
Mesh_XY,tornado,0.280,0.139976,448032,447924,13.4831,3.9331
Mesh_XY,tornado,0.120,0.059927,191803,191767,12.6987,3.7709
Mesh_XY,shuffle,0.060,0.029985,95969,95951,13.1177,4.0147
Mesh_XY,uniform_random,0.320,0.159751,511352,511203,17.4267,5.5332
Mesh_XY,tornado,0.360,0.179953,576016,575849,15.2656,3.9918
Mesh_XY,uniform_random,0.400,0.199670,639206,638944,19.4967,5.4899
Mesh_XY,shuffle,0.020,0.009959,31874,31869,13.0478,4.0093
Mesh_XY,shuffle,0.100,0.049965,159922,159888,13.1938,4.0236
Mesh_XY,shuffle,0.080,0.039916,127758,127732,13.1478,4.0156
Mesh_XY,uniform_random,0.440,0.219686,703251,702994,20.2076,5.4529
Mesh_XY,shuffle,0.120,0.059928,191803,191769,13.2480,4.0356
Mesh_XY,tornado,0.320,0.159971,512039,511907,14.0268,3.9760
Mesh_XY,tornado,0.440,0.214657,687129,686902,411.5911,3.9883
Mesh_XY,uniform_random,0.180,0.089785,287385,287313,16.0215,5.3419
Mesh_XY,shuffle,0.160,0.079978,255981,255928,13.3913,4.0723
Mesh_XY,shuffle,0.180,0.089978,287998,287931,13.4846,4.0989
Mesh_XY,shuffle,0.200,0.099949,319915,319837,13.5747,4.1222
Mesh_XY,tornado,0.400,0.198520,635459,635265,145.0671,3.9920
Mesh_XY,shuffle,0.040,0.019957,63870,63861,13.0791,4.0102
Mesh_XY,shuffle,0.240,0.120049,384256,384158,13.8308,4.1864
Mesh_XY,tornado,0.260,0.129974,416018,415916,13.3107,3.9073
Mesh_XY,tornado,0.340,0.169983,544090,543945,14.4829,3.9888
Mesh_XY,tornado,0.240,0.120051,384256,384162,13.1776,3.8820
Mesh_XY,transpose,0.060,0.029983,95969,95946,15.6967,5.2938
Mesh_XY,shuffle,0.140,0.069972,223956,223910,13.3190,4.0542
Mesh_XY,shuffle,0.320,0.159966,512039,511890,14.9281,4.3141
Mesh_XY,shuffle,0.340,0.169976,544090,543923,15.5731,4.3240
Mesh_XY,tornado,0.480,0.224555,718833,718576,984.5076,4.0070
Mesh_XY,shuffle,0.220,0.110013,352129,352042,13.6949,4.1540
Mesh_XY,shuffle,0.360,0.179952,576029,575845,16.6775,4.3111
Mesh_XY,transpose,0.040,0.019956,63870,63858,15.6324,5.2804
Mesh_XY,tornado,0.500,0.228955,732956,732655,1144.1515,4.0185
Mesh_XY,transpose,0.080,0.039914,127758,127725,15.8178,5.3314
Mesh_XY,transpose,0.020,0.009959,31874,31868,15.5709,5.2675
Mesh_XY,shuffle,0.380,0.189917,607948,607734,19.0523,4.2817
Mesh_XY,shuffle,0.280,0.139973,448032,447913,14.2078,4.2556
Mesh_XY,tornado,0.380,0.189621,606958,606786,54.6822,3.9885
Mesh_XY,transpose,0.140,0.069969,223956,223901,16.4867,5.5199
Mesh_XY,tornado,0.460,0.219932,704023,703783,723.9177,3.9958
Mesh_XY,shuffle,0.420,0.204957,656182,655864,522.6680,4.2125
Mesh_XY,transpose,0.200,0.099941,319915,319811,19.3058,5.6509
Mesh_XY,shuffle,0.300,0.150001,480137,480004,14.5116,4.2877
Mesh_XY,transpose,0.120,0.059925,191803,191759,16.1962,5.4477
Mesh3D_XYZ,uniform_random,0.020,0.009930,31785,31776,16.2777,3.7592
Mesh_XY,shuffle,0.440,0.209390,670413,670049,1022.4862,4.1464
Mesh3D_XYZ,uniform_random,0.040,0.019905,63719,63695,16.2621,3.7471
Mesh_XY,shuffle,0.260,0.129972,416018,415910,13.9969,4.2199
Mesh_XY,transpose,0.240,0.119782,383470,383303,70.6453,5.4954
Mesh_XY,tornado,0.420,0.207537,664333,664118,201.3068,3.9858
Mesh_XY,transpose,0.260,0.128076,410050,409843,285.7391,5.3738
Mesh_XY,transpose,0.100,0.049962,159922,159879,15.9711,5.3794
Mesh_XY,transpose,0.320,0.145645,466333,466063,1185.5182,4.8038
Mesh3D_XYZ,uniform_random,0.100,0.049863,159604,159562,16.3771,3.7686
Mesh_XY,transpose,0.280,0.134463,430516,430281,666.6457,5.1784
Mesh3D_XYZ,uniform_random,0.060,0.029933,95802,95785,16.3127,3.7537
Mesh_XY,transpose,0.340,0.150636,482317,482035,1406.8147,4.6244
Mesh_XY,transpose,0.360,0.154971,496206,495908,1549.6953,4.4504
Mesh_XY,transpose,0.160,0.079972,255981,255910,16.9657,5.5971
Mesh_XY,shuffle,0.400,0.198835,636539,636271,141.4309,4.2475
Mesh3D_XYZ,uniform_random,0.140,0.069801,223429,223363,16.4610,3.7890
Mesh_XY,transpose,0.400,0.162630,520721,520415,2001.0262,4.1741
Mesh_XY,transpose,0.180,0.089972,287998,287912,17.8407,5.6502
Mesh3D_XYZ,uniform_random,0.120,0.059816,191465,191410,16.4061,3.7753
Mesh_XY,shuffle,0.500,0.217757,697217,696822,2410.9362,4.1003
Mesh_XY,transpose,0.380,0.159070,509328,509024,1705.8083,4.3007
Mesh_XY,transpose,0.440,0.169282,542025,541703,2371.8154,3.9284
Mesh3D_XYZ,uniform_random,0.260,0.129880,415776,415617,18.0169,3.8805
Mesh3D_XYZ,uniform_random,0.160,0.079814,255476,255405,16.5223,3.8035
Mesh3D_XYZ,uniform_random,0.080,0.039831,127496,127459,16.3146,3.7546
Mesh_XY,transpose,0.300,0.140285,449161,448911,885.5875,4.9784
Mesh3D_XYZ,uniform_random,0.180,0.089784,287385,287310,16.6211,3.8250
Mesh3D_XYZ,tornado,0.040,0.019957,63870,63862,9.5016,2.2508
Mesh_XY,shuffle,0.460,0.212587,680655,680279,1543.1070,4.1316
Mesh3D_XYZ,uniform_random,0.300,0.149811,479559,479396,19.2889,3.8732
Mesh3D_XYZ,tornado,0.060,0.029986,95969,95954,9.5018,2.2509
Mesh_XY,transpose,0.420,0.165975,531429,531121,2236.8788,4.0501
Mesh3D_XYZ,tornado,0.020,0.009959,31874,31869,9.5009,2.2505
Mesh_XY,transpose,0.220,0.110003,352129,352010,20.9012,5.6090
Mesh_XY,transpose,0.480,0.175359,561472,561149,2647.8265,3.7165
Mesh3D_XYZ,uniform_random,0.220,0.109855,351639,351536,16.8860,3.8557
Mesh_XY,transpose,0.460,0.172378,551931,551609,2528.9707,3.8185
Mesh3D_XYZ,uniform_random,0.320,0.159740,511352,511168,19.8184,3.8726
Mesh_XY,shuffle,0.480,0.215833,691055,690664,1963.4673,4.1136
Mesh3D_XYZ,uniform_random,0.340,0.169788,543529,543322,20.1601,3.8635
Mesh3D_XYZ,uniform_random,0.240,0.119922,383853,383750,17.2851,3.8740
Mesh_XY,transpose,0.500,0.178328,570993,570651,2750.2164,3.6231
Mesh3D_XYZ,tornado,0.100,0.049967,159922,159893,9.5017,2.2508
Mesh3D_XYZ,tornado,0.160,0.079981,255981,255940,9.5009,2.2504
Mesh3D_XYZ,uniform_random,0.400,0.199666,639206,638930,21.0045,3.8431
Mesh3D_XYZ,uniform_random,0.280,0.139828,447620,447450,18.6895,3.8802
Mesh3D_XYZ,tornado,0.080,0.039918,127758,127737,9.5015,2.2508
