Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Sparse3D_Pillars_Z4,uniform_random,0.300,0.011948,8238,7647,3447.6414,4.7016
Sparse3D_Pillars_Z4,uniform_random,0.380,0.010714,7520,6857,3185.6256,4.9500
Cluster3D_Hub_Z1,uniform_random,0.020,0.009972,6387,6382,13.7394,4.3490
Sparse3D_Pillars_Z4,uniform_random,0.320,0.011345,7932,7261,3690.6568,4.7664
Sparse3D_Pillars_Z4,uniform_random,0.280,0.011834,8188,7574,3141.5737,4.7559
Sparse3D_Pillars_Z4,uniform_random,0.400,0.011422,7905,7310,3967.4658,4.8647
Sparse3D_Pillars_Z4,uniform_random,0.360,0.012703,8723,8130,3961.5060,4.6759
Sparse3D_Pillars_Z2,uniform_random,0.440,0.017248,11646,11039,2765.8073,4.7772
Sparse3D_Pillars_Z4,uniform_random,0.020,0.009970,6387,6381,17.1664,4.1827
Sparse3D_Pillars_Z2,uniform_random,0.480,0.017552,11827,11233,3298.6131,4.7990
Cluster3D_Hub_Z1,uniform_random,0.060,0.029870,19131,19117,13.8140,4.3418
Sparse3D_Pillars_Z4,uniform_random,0.420,0.011562,7998,7400,3882.0077,4.7742
Sparse3D_Pillars_Z4,uniform_random,0.480,0.010303,7224,6594,3416.4923,4.8702
Sparse3D_Pillars_Z2,uniform_random,0.400,0.018633,12506,11925,3328.0246,4.7643
Sparse3D_Pillars_Z2,uniform_random,0.280,0.019527,13096,12497,2529.1523,4.7452
Sparse3D_Pillars_Z4,uniform_random,0.460,0.011367,7877,7275,3521.8682,4.7606
Cluster3D_Hub_Z1,uniform_random,0.080,0.039822,25513,25486,13.8251,4.3269
Sparse3D_Pillars_Z4,uniform_random,0.500,0.010684,7503,6838,3767.4558,4.9089
Cluster3D_Hub_Z1,uniform_random,0.140,0.069477,44515,44465,14.1213,4.3972
Cluster3D_Hub_Z1,uniform_random,0.160,0.079450,50920,50848,14.2181,4.4158
Sparse3D_Pillars_Z4,uniform_random,0.260,0.010844,7560,6940,2999.9729,4.9500
Cluster3D_Hub_Z1,uniform_random,0.120,0.059773,38312,38255,14.0095,4.3690
Cluster3D_Hub_Z1,uniform_random,0.200,0.099561,63801,63719,14.5283,4.4842
Sparse3D_Pillars_Z4,uniform_random,0.340,0.012011,8294,7687,3251.6945,4.6674
Cluster3D_Hub_Z1,uniform_random,0.260,0.129745,83161,83037,15.2343,4.5531
Cluster3D_Hub_Z1,uniform_random,0.220,0.109562,70205,70120,14.6927,4.5065
Sparse3D_Pillars_Z4,uniform_random,0.440,0.010402,7307,6657,3404.0668,4.8827
Cluster3D_Hub_Z1,uniform_random,0.280,0.139680,89543,89395,15.6232,4.5593
Cluster3D_Hub_Z1,uniform_random,0.040,0.019683,12618,12597,13.7062,4.3114
Cluster3D_Hub_Z1,uniform_random,0.100,0.049881,31970,31924,13.9235,4.3513
Cluster3D_Hub_Z1,uniform_random,0.320,0.159767,102412,102251,17.1661,4.5706
Cluster3D_Hub_Z1,uniform_random,0.180,0.089627,57428,57361,14.3757,4.4525
Cluster3D_Hub_Z1,uniform_random,0.300,0.149867,96060,95915,16.3440,4.5732
Cluster3D_Hub_Z1,uniform_random,0.420,0.023448,15791,15007,1908.9005,5.3346
Cluster3D_Hub_Z1,uniform_random,0.240,0.119611,76649,76551,14.9416,4.5366
Cluster3D_Hub_Z2,uniform_random,0.020,0.009972,6387,6382,14.9727,4.3491
Cluster3D_Hub_Z1,uniform_random,0.460,0.020353,13835,13026,1991.3061,5.4632
Cluster3D_Hub_Z2,uniform_random,0.060,0.029867,19131,19115,15.1056,4.3723
Cluster3D_Hub_Z1,uniform_random,0.380,0.026759,17895,17126,1439.4676,5.1849
Cluster3D_Hub_Z2,uniform_random,0.100,0.049881,31970,31924,15.3523,4.4368
Cluster3D_Hub_Z2,uniform_random,0.220,0.109527,70205,70097,18.6923,4.5509
