Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Mesh3D_XYZ,neighbor,0.200,0.099958,319915,319866,8.5052,1.7526
Sparse3D_Pillars,uniform_random,0.040,0.019905,63719,63696,13.3559,4.1244
Sparse3D_Pillars,uniform_random,0.100,0.049866,159604,159571,13.6362,4.1718
Mesh3D_XYZ,neighbor,0.400,0.199853,639625,639529,8.5047,1.7523
Sparse3D_Pillars,uniform_random,0.020,0.009930,31785,31777,13.3412,4.1435
Mesh3D_XYZ,transpose,0.500,0.203333,651029,650667,3131.0329,3.5103
Sparse3D_Pillars,uniform_random,0.200,0.099804,319463,319372,14.6484,4.2872
Mesh3D_XYZ,neighbor,0.420,0.209830,671555,671457,8.5040,1.7520
Mesh3D_XYZ,transpose,0.440,0.197027,630817,630485,1808.3142,3.6665
Mesh3D_XYZ,neighbor,0.380,0.189955,607948,607855,8.5048,1.7524
Sparse3D_Pillars,uniform_random,0.160,0.079816,255476,255412,14.0697,4.2391
Mesh3D_XYZ,neighbor,0.500,0.249878,799716,799608,8.5026,1.7513
Sparse3D_Pillars,uniform_random,0.220,0.109858,351639,351546,15.2940,4.3114
Mesh3D_XYZ,neighbor,0.480,0.239872,767695,767589,8.5036,1.7518
Sparse3D_Pillars,transpose,0.020,0.009959,31874,31869,13.0652,4.0067
Mesh3D_XYZ,neighbor,0.460,0.229851,735627,735524,8.5041,1.7520
Mesh3D_XYZ,neighbor,0.280,0.139989,448032,447965,8.5038,1.7519
Mesh3D_XYZ,neighbor,0.360,0.179980,576029,575937,8.5059,1.7530
Sparse3D_Pillars,uniform_random,0.260,0.049615,159292,158768,3763.2922,4.4189
Sparse3D_Pillars,uniform_random,0.140,0.069805,223429,223375,13.9003,4.2146
Mesh3D_XYZ,neighbor,0.440,0.219853,703631,703529,8.5043,1.7522
Sparse3D_Pillars,transpose,0.060,0.029984,95969,95950,13.2056,4.0227
Sparse3D_Pillars,uniform_random,0.180,0.089787,287385,287319,14.2987,4.2676
Sparse3D_Pillars,uniform_random,0.240,0.113357,363300,362743,36.7801,4.3720
Sparse3D_Pillars,uniform_random,0.340,0.025979,83691,83134,11670.2872,4.5986
Mesh3D_XYZ,transpose,0.420,0.194660,623215,622911,1294.9391,3.7278
Sparse3D_Pillars,uniform_random,0.360,0.026599,85633,85117,11738.1351,4.5783
Sparse3D_Pillars,transpose,0.140,0.069971,223956,223906,13.8346,4.1344
Sparse3D_Pillars,transpose,0.200,0.099947,319915,319832,16.9179,4.3454
Sparse3D_Pillars,transpose,0.040,0.019957,63870,63861,13.1270,4.0125
Sparse3D_Pillars,uniform_random,0.420,0.024952,80352,79846,12517.6571,4.6240
Sparse3D_Pillars,uniform_random,0.440,0.024319,78321,77822,12390.6344,4.6643
Sparse3D_Pillars,transpose,0.100,0.049964,159922,159885,13.4386,4.0685
Sparse3D_Pillars,transpose,0.220,0.108843,348435,348299,199.6353,4.3518
Sparse3D_Pillars,transpose,0.240,0.115541,369911,369730,594.8742,4.2767
Sparse3D_Pillars,transpose,0.120,0.059927,191803,191765,13.6130,4.0998
Sparse3D_Pillars,uniform_random,0.380,0.026115,84066,83567,12565.1276,4.6122
Sparse3D_Pillars,transpose,0.080,0.039916,127758,127730,13.3082,4.0421
Sparse3D_Pillars,neighbor,0.060,0.029987,95969,95957,8.5071,1.7536
Sparse3D_Pillars,transpose,0.300,0.132038,422757,422522,1170.2225,4.0370
Sparse3D_Pillars,transpose,0.260,0.121760,389817,389633,980.6203,4.2161
Sparse3D_Pillars,transpose,0.160,0.079975,255981,255920,14.2572,4.1917
Sparse3D_Pillars,neighbor,0.040,0.019958,63870,63865,8.5077,1.7538
Sparse3D_Pillars,uniform_random,0.320,0.026032,83795,83303,10529.6884,4.6118
Sparse3D_Pillars,transpose,0.180,0.089977,287998,287926,14.9361,4.2583
Sparse3D_Pillars,neighbor,0.140,0.069977,223956,223926,8.5045,1.7523
Sparse3D_Pillars,neighbor,0.080,0.039919,127758,127741,8.5053,1.7526
Sparse3D_Pillars,transpose,0.280,0.127326,407636,407442,1187.3575,4.1392
Sparse3D_Pillars,uniform_random,0.400,0.023567,75903,75415,12008.6721,4.6897
Sparse3D_Pillars,neighbor,0.020,0.009959,31874,31870,8.5174,1.7587
Sparse3D_Pillars,transpose,0.340,0.139469,446603,446300,1540.8169,3.9069
Sparse3D_Pillars,neighbor,0.240,0.120061,384256,384194,8.5037,1.7519
Sparse3D_Pillars,uniform_random,0.280,0.024220,77992,77505,9490.9292,4.6913
Sparse3D_Pillars,neighbor,0.220,0.110023,352129,352073,8.5052,1.7526
Sparse3D_Pillars,transpose,0.420,0.151404,484851,484493,2753.6128,3.6496
Sparse3D_Pillars,uniform_random,0.460,0.023107,74453,73942,12776.6206,4.7022
Sparse3D_Pillars,transpose,0.360,0.142892,457587,457255,1905.1758,3.8435
Sparse3D_Pillars,neighbor,0.100,0.049968,159922,159897,8.5040,1.7520
Sparse3D_Pillars,neighbor,0.120,0.059931,191803,191778,8.5049,1.7524
Sparse3D_Pillars,transpose,0.400,0.148505,475575,475216,2480.4628,3.7043
Sparse3D_Pillars,transpose,0.320,0.135759,434701,434430,1352.5477,3.9618
Sparse3D_Pillars,uniform_random,0.500,0.023110,74447,73951,14841.2024,4.7162
Sparse3D_Pillars,uniform_random,0.300,0.027322,87943,87430,10669.2079,4.5900
Sparse3D_Pillars,neighbor,0.180,0.089986,287998,287955,8.5050,1.7525
Sparse3D_Pillars,neighbor,0.160,0.079983,255981,255946,8.5038,1.7519
Sparse3D_Pillars,neighbor,0.200,0.099958,319915,319866,8.5052,1.7526
Sparse3D_Pillars,transpose,0.440,0.154858,495917,495547,2990.2651,3.6047
Sparse3D_Pillars,neighbor,0.280,0.139989,448032,447965,8.5038,1.7519
Sparse3D_Pillars,transpose,0.380,0.145760,466776,466432,2230.5522,3.7680
Sparse3D_Pillars,neighbor,0.320,0.159987,512039,511959,8.5057,1.7528
Sparse3D_Pillars,neighbor,0.300,0.150020,480137,480063,8.5062,1.7531
Sparse3D_Pillars,transpose,0.500,0.162499,520393,519998,3834.2990,3.4717
Cluster3D_Hub,uniform_random,0.020,0.009930,31785,31776,13.6897,4.3229
Sparse3D_Pillars,neighbor,0.360,0.179980,576029,575937,8.5059,1.7530
Sparse3D_Pillars,neighbor,0.260,0.129985,416018,415952,8.5036,1.7518
Cluster3D_Hub,uniform_random,0.040,0.019905,63719,63697,13.7046,4.3090
Sparse3D_Pillars,transpose,0.460,0.157912,505702,505319,3211.2890,3.5596
Cluster3D_Hub,uniform_random,0.080,0.039832,127496,127463,13.8300,4.3283
Sparse3D_Pillars,uniform_random,0.480,0.022897,73775,73271,13369.8531,4.7063
Cluster3D_Hub,uniform_random,0.100,0.049866,159604,159571,13.9244,4.3508
Sparse3D_Pillars,transpose,0.480,0.160461,513866,513476,3532.7390,3.5140
Sparse3D_Pillars,neighbor,0.380,0.189955,607948,607855,8.5048,1.7524
Sparse3D_Pillars,neighbor,0.400,0.199853,639625,639529,8.5047,1.7523
Cluster3D_Hub,uniform_random,0.060,0.029934,95802,95788,13.7873,4.3279
Sparse3D_Pillars,neighbor,0.500,0.249878,799716,799608,8.5026,1.7513
Cluster3D_Hub,uniform_random,0.140,0.069805,223429,223377,14.1275,4.3985
Cluster3D_Hub,uniform_random,0.200,0.099802,319463,319367,14.5244,4.4803
Cluster3D_Hub,transpose,0.040,0.019956,63870,63860,13.5995,4.2617
Cluster3D_Hub,uniform_random,0.240,0.119928,383853,383769,14.9416,4.5365
Sparse3D_Pillars,neighbor,0.440,0.219853,703631,703529,8.5043,1.7522
Sparse3D_Pillars,neighbor,0.480,0.239872,767695,767589,8.5036,1.7518
Sparse3D_Pillars,neighbor,0.340,0.170001,544090,544004,8.5055,1.7527
Cluster3D_Hub,uniform_random,0.260,0.129889,415776,415646,15.2432,4.5572
Cluster3D_Hub,transpose,0.060,0.029984,95969,95949,13.6555,4.2702
Sparse3D_Pillars,neighbor,0.420,0.209830,671555,671457,8.5040,1.7520
Cluster3D_Hub,uniform_random,0.300,0.149820,479559,479425,16.2630,4.5621
Cluster3D_Hub,uniform_random,0.280,0.139835,447620,447471,15.6614,4.5662
Cluster3D_Hub,transpose,0.020,0.009959,31874,31869,13.5519,4.2563
Cluster3D_Hub,transpose,0.140,0.069970,223956,223904,14.1179,4.3957
Cluster3D_Hub,transpose,0.100,0.049963,159922,159883,13.8380,4.3184
Cluster3D_Hub,uniform_random,0.120,0.059818,191465,191416,14.0007,4.3643
Cluster3D_Hub,uniform_random,0.220,0.109859,351639,351548,14.6943,4.5077
Cluster3D_Hub,uniform_random,0.160,0.079816,255476,255411,14.2356,4.4219
Cluster3D_Hub,transpose,0.080,0.039915,127758,127729,13.7392,4.2915
Cluster3D_Hub,uniform_random,0.320,0.159751,511352,511204,17.1919,4.5603
Sparse3D_Pillars,neighbor,0.460,0.229851,735627,735524,8.5041,1.7520
Cluster3D_Hub,transpose,0.220,0.110012,352129,352038,15.4860,4.5898
Cluster3D_Hub,transpose,0.180,0.089976,287998,287924,14.5391,4.4915
Cluster3D_Hub,uniform_random,0.180,0.089787,287385,287318,14.3680,4.4505
Cluster3D_Hub,uniform_random,0.380,0.032849,105680,105118,11282.3519,5.2125
Cluster3D_Hub,transpose,0.160,0.079975,255981,255919,14.3030,4.4421
Cluster3D_Hub,transpose,0.120,0.059926,191803,191763,13.9624,4.3536
Cluster3D_Hub,transpose,0.280,0.133366,427033,426770,751.4039,4.4281
Cluster3D_Hub,neighbor,0.080,0.039919,127758,127741,8.5053,1.7526
Cluster3D_Hub,uniform_random,0.420,0.031979,102877,102332,11000.5002,5.1724
Cluster3D_Hub,uniform_random,0.460,0.029060,93589,92992,9738.7256,5.3550
Cluster3D_Hub,transpose,0.200,0.099947,319915,319830,14.8749,4.5437
Cluster3D_Hub,transpose,0.240,0.120038,384256,384122,17.3990,4.6100
Cluster3D_Hub,neighbor,0.020,0.009959,31874,31870,8.5174,1.7587
Cluster3D_Hub,uniform_random,0.360,0.032990,106152,105568,9015.8304,5.2406
Cluster3D_Hub,uniform_random,0.500,0.028228,90942,90329,9947.4647,5.2737
Cluster3D_Hub,neighbor,0.140,0.069977,223956,223926,8.5045,1.7523
Cluster3D_Hub,uniform_random,0.340,0.051037,163926,163319,3748.3732,4.9336
Cluster3D_Hub,uniform_random,0.440,0.030681,98758,98180,11686.9939,5.2078
Cluster3D_Hub,neighbor,0.160,0.079983,255981,255946,8.5038,1.7519
Cluster3D_Hub,neighbor,0.040,0.019958,63870,63865,8.5077,1.7538
Cluster3D_Hub,transpose,0.260,0.127180,407183,406977,361.3811,4.4857
Cluster3D_Hub,neighbor,0.100,0.049968,159922,159897,8.5040,1.7520
Cluster3D_Hub,neighbor,0.060,0.029987,95969,95957,8.5071,1.7536
Cluster3D_Hub,uniform_random,0.400,0.032113,103331,102763,9816.1334,5.2523
Cluster3D_Hub,neighbor,0.220,0.110023,352129,352073,8.5052,1.7526
Cluster3D_Hub,neighbor,0.280,0.139989,448032,447965,8.5038,1.7519
Cluster3D_Hub,transpose,0.400,0.158833,508684,508265,3574.9456,4.1247
Cluster3D_Hub,transpose,0.320,0.142167,455310,454933,1938.0321,4.3133
Cluster3D_Hub,neighbor,0.200,0.099958,319915,319866,8.5052,1.7526
Cluster3D_Hub,transpose,0.300,0.138343,443065,442697,1242.0061,4.3686
Cluster3D_Hub,neighbor,0.240,0.120061,384256,384194,8.5037,1.7519
Cluster3D_Hub,uniform_random,0.480,0.030156,97052,96499,10623.2327,5.2123
Cluster3D_Hub,transpose,0.360,0.150590,482285,481887,2906.4960,4.2172
Cluster3D_Hub,neighbor,0.120,0.059931,191803,191778,8.5049,1.7524
Cluster3D_Hub,neighbor,0.320,0.159987,512039,511959,8.5057,1.7528
Cluster3D_Hub,neighbor,0.180,0.089986,287998,287955,8.5050,1.7525
Cluster3D_Hub,neighbor,0.360,0.179980,576029,575937,8.5059,1.7530
Hier3D_Chiplet,uniform_random,0.020,0.009929,31785,31774,13.4316,4.1887
Hier3D_Chiplet,uniform_random,0.040,0.019907,63719,63701,13.4683,4.1812
Cluster3D_Hub,transpose,0.420,0.162957,521885,521462,3816.5559,4.0757
Cluster3D_Hub,neighbor,0.380,0.189955,607948,607855,8.5048,1.7524
Cluster3D_Hub,transpose,0.480,0.174068,557445,557017,4541.6126,3.9609
Cluster3D_Hub,neighbor,0.260,0.129985,416018,415952,8.5036,1.7518
Hier3D_Chiplet,uniform_random,0.080,0.039832,127496,127464,13.5899,4.1904
Hier3D_Chiplet,uniform_random,0.060,0.029933,95802,95787,13.5511,4.1961
Cluster3D_Hub,transpose,0.440,0.166940,534636,534209,4067.5013,4.0333
Cluster3D_Hub,neighbor,0.420,0.209830,671555,671457,8.5040,1.7520
Cluster3D_Hub,neighbor,0.300,0.150020,480137,480063,8.5062,1.7531
Cluster3D_Hub,transpose,0.380,0.154678,495373,494969,3288.1140,4.1677
Cluster3D_Hub,transpose,0.500,0.177450,568274,567839,4724.7700,3.9270
Hier3D_Chiplet,uniform_random,0.200,0.099803,319463,319368,14.0921,4.2232
Cluster3D_Hub,neighbor,0.460,0.229851,735627,735524,8.5041,1.7520
Cluster3D_Hub,transpose,0.460,0.170503,546042,545608,4315.4179,3.9965
Hier3D_Chiplet,uniform_random,0.160,0.079816,255476,255410,13.8701,4.2028
Hier3D_Chiplet,uniform_random,0.120,0.059817,191465,191413,13.7265,4.1984
Cluster3D_Hub,transpose,0.340,0.146558,469375,468986,2442.9580,4.2654
Cluster3D_Hub,neighbor,0.400,0.199853,639625,639529,8.5047,1.7523
Hier3D_Chiplet,uniform_random,0.260,0.129891,415776,415651,14.5989,4.2456
Hier3D_Chiplet,uniform_random,0.240,0.119927,383853,383766,14.3815,4.2347
Cluster3D_Hub,neighbor,0.440,0.219853,703631,703529,8.5043,1.7522
Cluster3D_Hub,neighbor,0.480,0.239872,767695,767589,8.5036,1.7518
Hier3D_Chiplet,uniform_random,0.180,0.089789,287385,287324,13.9721,4.2101
Cluster3D_Hub,neighbor,0.340,0.170001,544090,544004,8.5055,1.7527
Hier3D_Chiplet,uniform_random,0.100,0.049865,159604,159569,13.6589,4.1942
Hier3D_Chiplet,uniform_random,0.140,0.069804,223429,223373,13.8077,4.2064
Hier3D_Chiplet,transpose,0.080,0.039916,127758,127731,13.2001,4.0072
Hier3D_Chiplet,uniform_random,0.220,0.109859,351639,351550,14.2131,4.2258
Hier3D_Chiplet,transpose,0.020,0.009959,31874,31869,13.0606,4.0066
Hier3D_Chiplet,uniform_random,0.340,0.163543,523593,523336,710.2466,4.2651
Hier3D_Chiplet,transpose,0.100,0.049964,159922,159884,13.2662,4.0149
Hier3D_Chiplet,transpose,0.060,0.029984,95969,95950,13.1440,4.0031
Hier3D_Chiplet,uniform_random,0.320,0.159751,511350,511203,16.9506,4.2759
Hier3D_Chiplet,transpose,0.120,0.059927,191803,191765,13.3424,4.0254
Hier3D_Chiplet,transpose,0.040,0.019956,63870,63860,13.0982,4.0029
Hier3D_Chiplet,transpose,0.140,0.069971,223956,223907,13.4382,4.0396
Hier3D_Chiplet,transpose,0.180,0.089978,287998,287929,13.6996,4.0751
Cluster3D_Hub,neighbor,0.500,0.249878,799716,799608,8.5026,1.7513
Hier3D_Chiplet,uniform_random,0.380,0.156203,500284,499849,3033.9021,4.2122
Hier3D_Chiplet,uniform_random,0.360,0.163661,524021,523715,1224.9941,4.2093
Hier3D_Chiplet,transpose,0.260,0.129970,416018,415904,15.2911,4.1314
Hier3D_Chiplet,neighbor,0.060,0.029986,95969,95955,9.0122,1.9989
Hier3D_Chiplet,uniform_random,0.280,0.139837,447620,447478,14.8773,4.2540
Hier3D_Chiplet,transpose,0.200,0.099948,319915,319835,13.8769,4.0918
Hier3D_Chiplet,neighbor,0.080,0.039918,127758,127738,9.0176,1.9991
Hier3D_Chiplet,uniform_random,0.300,0.149820,479559,479425,15.3938,4.2613
Hier3D_Chiplet,neighbor,0.020,0.009959,31874,31870,9.0082,2.0018
Hier3D_Chiplet,neighbor,0.100,0.049967,159922,159895,9.0211,1.9983
Hier3D_Chiplet,uniform_random,0.480,0.141802,454290,453765,8184.1402,4.2180
Hier3D_Chiplet,transpose,0.340,0.154797,495627,495349,1254.6024,3.9669
Hier3D_Chiplet,transpose,0.160,0.079976,255981,255924,13.5558,4.0574
Hier3D_Chiplet,neighbor,0.040,0.019957,63870,63864,9.0135,2.0020
Hier3D_Chiplet,uniform_random,0.400,0.153989,493214,492764,3799.3573,4.1949
Hier3D_Chiplet,transpose,0.320,0.151020,483521,483264,820.7144,4.0179
Hier3D_Chiplet,uniform_random,0.460,0.144782,463793,463301,6994.9632,4.2115
Hier3D_Chiplet,transpose,0.220,0.110013,352129,352043,14.1431,4.1107
Hier3D_Chiplet,neighbor,0.160,0.079982,255981,255944,9.0462,2.0032
Hier3D_Chiplet,transpose,0.280,0.139968,448032,447897,18.4860,4.1172
Hier3D_Chiplet,uniform_random,0.420,0.151365,484844,484369,4867.0427,4.2045
Hier3D_Chiplet,neighbor,0.140,0.069976,223956,223924,9.0367,2.0010
Hier3D_Chiplet,neighbor,0.120,0.059930,191803,191776,9.0300,2.0002
Hier3D_Chiplet,transpose,0.240,0.120048,384256,384154,14.5395,4.1252
Hier3D_Chiplet,transpose,0.380,0.161391,516783,516452,1925.6770,3.8849
Hier3D_Chiplet,neighbor,0.180,0.089986,287998,287955,9.0551,2.0052
Hier3D_Chiplet,transpose,0.300,0.146631,469422,469219,428.1285,4.0673
Hier3D_Chiplet,neighbor,0.220,0.110022,352129,352072,9.0759,2.0103
Hier3D_Chiplet,neighbor,0.200,0.099958,319915,319865,9.0645,2.0072
Hier3D_Chiplet,uniform_random,0.500,0.140987,451690,451160,8506.3671,4.2052
Hier3D_Chiplet,neighbor,0.240,0.120060,384256,384192,9.0880,2.0138
Hier3D_Chiplet,neighbor,0.260,0.129984,416018,415949,9.1001,2.0172
Hier3D_Chiplet,transpose,0.440,0.171968,550658,550297,2645.3894,3.7570
Hier3D_Chiplet,transpose,0.360,0.158216,506605,506290,1589.7655,3.9253
Hier3D_Chiplet,neighbor,0.280,0.139987,448032,447960,9.1141,2.0214
Hier3D_Chiplet,transpose,0.460,0.174298,558132,557754,2914.1136,3.7321
Hier3D_Chiplet,uniform_random,0.440,0.147262,471771,471238,6067.7717,4.1868
Hier3D_Chiplet,neighbor,0.360,0.179977,576029,575926,9.1849,2.0436
Hier3D_Chiplet,neighbor,0.340,0.169998,544090,543995,9.1641,2.0369
Hier3D_Chiplet,transpose,0.420,0.168653,540040,539688,2400.1536,3.7958
Hier3D_Chiplet,transpose,0.480,0.174976,560321,559924,3291.4257,3.7241
Hier3D_Chiplet,transpose,0.500,0.175648,562490,562075,3602.2978,3.7084
Hier3D_Chiplet,neighbor,0.300,0.150018,480137,480057,9.1300,2.0262
Hier3D_Chiplet,neighbor,0.320,0.159985,512039,511951,9.1455,2.0309
Hier3D_Chiplet,transpose,0.400,0.165073,528584,528234,2166.0687,3.8369
Hier3D_Chiplet,neighbor,0.440,0.219849,703631,703518,9.2859,2.0733
Hier3D_Chiplet,neighbor,0.380,0.189951,607948,607844,9.2048,2.0497
Hier3D_Chiplet,neighbor,0.400,0.199849,639625,639518,9.2291,2.0573
Hier3D_Chiplet,neighbor,0.460,0.229848,735627,735512,9.3179,2.0811
Hier3D_Chiplet,neighbor,0.420,0.209827,671555,671446,9.2539,2.0643
Hier3D_Chiplet,neighbor,0.480,0.239868,767695,767577,9.3565,2.0896
Hier3D_Chiplet,neighbor,0.500,0.249873,799716,799595,9.3993,2.0972
