Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Sparse3D_Pillars_Z4,uniform_random,0.340,0.013875,9427,8880,3453.6309,4.4894
Sparse3D_Pillars_Z4,uniform_random,0.220,0.013297,9033,8510,2959.0022,4.6200
Sparse3D_Pillars_Z2,uniform_random,0.180,0.089170,57201,57069,37.8310,4.3987
Sparse3D_Pillars_Z4,uniform_random,0.320,0.012272,8381,7854,3651.3916,4.5288
Sparse3D_Pillars_Z4,uniform_random,0.440,0.013184,8934,8438,4211.9996,4.5287
Sparse3D_Pillars_Z4,uniform_random,0.300,0.013786,9330,8823,3254.6690,4.4568
Sparse3D_Pillars_Z4,uniform_random,0.400,0.012048,8242,7711,4041.5573,4.6579
Sparse3D_Pillars_Z4,uniform_random,0.420,0.012694,8641,8124,3459.0663,4.5340
Sparse3D_Pillars_Z2,uniform_random,0.500,0.019558,13036,12517,4049.3820,4.6267
Cluster3D_Hub_Z1,uniform_random,0.120,0.059773,38312,38255,14.0080,4.3684
Sparse3D_Pillars_Z4,uniform_random,0.060,0.029861,19131,19111,17.6568,4.2382
Sparse3D_Pillars_Z4,uniform_random,0.160,0.014236,9648,9111,2518.2328,4.5285
Sparse3D_Pillars_Z4,uniform_random,0.040,0.019672,12618,12590,17.2481,4.1773
Sparse3D_Pillars_Z4,uniform_random,0.480,0.012828,8719,8210,3967.6211,4.5572
Cluster3D_Hub_Z1,uniform_random,0.020,0.009972,6387,6382,13.7394,4.3490
Cluster3D_Hub_Z1,uniform_random,0.060,0.029870,19131,19117,13.8138,4.3417
Sparse3D_Pillars_Z4,uniform_random,0.120,0.029013,19120,18568,643.8085,4.4008
Sparse3D_Pillars_Z4,uniform_random,0.360,0.012811,8737,8199,3742.8447,4.5337
Cluster3D_Hub_Z1,uniform_random,0.100,0.049881,31970,31924,13.9230,4.3511
Sparse3D_Pillars_Z2,uniform_random,0.480,0.017997,12024,11518,3417.5205,4.6450
Cluster3D_Hub_Z1,uniform_random,0.300,0.149856,96060,95908,16.3864,4.5580
Cluster3D_Hub_Z1,uniform_random,0.280,0.139683,89543,89397,15.6403,4.5529
Cluster3D_Hub_Z1,uniform_random,0.340,0.136430,87896,87315,50.4500,4.5459
Cluster3D_Hub_Z2,uniform_random,0.040,0.019681,12618,12596,14.9459,4.3208
Cluster3D_Hub_Z1,uniform_random,0.360,0.041155,26879,26339,1195.9275,5.0313
Cluster3D_Hub_Z2,uniform_random,0.060,0.029867,19131,19115,15.1058,4.3723
Sparse3D_Pillars_Z4,uniform_random,0.460,0.011163,7679,7144,3739.6425,4.6345
Cluster3D_Hub_Z1,uniform_random,0.140,0.069477,44515,44465,14.1201,4.3966
Cluster3D_Hub_Z1,uniform_random,0.040,0.019683,12618,12597,13.7062,4.3114
Cluster3D_Hub_Z1,uniform_random,0.400,0.040386,26379,25847,2157.6165,5.0313
Cluster3D_Hub_Z2,uniform_random,0.100,0.049881,31970,31924,15.3526,4.4369
Cluster3D_Hub_Z1,uniform_random,0.440,0.033089,21779,21177,1503.9537,5.1404
Cluster3D_Hub_Z1,uniform_random,0.480,0.038508,25185,24645,2629.0540,4.9190
Cluster3D_Hub_Z1,uniform_random,0.460,0.033105,21823,21187,2077.9814,5.1307
Cluster3D_Hub_Z1,uniform_random,0.420,0.036362,23877,23272,1315.2182,5.0763
Cluster3D_Hub_Z1,uniform_random,0.160,0.079450,50920,50848,14.2190,4.4159
Cluster3D_Hub_Z1,uniform_random,0.320,0.159753,102412,102242,17.2341,4.5596
Cluster3D_Hub_Z1,uniform_random,0.180,0.089627,57428,57361,14.3758,4.4522
Cluster3D_Hub_Z2,uniform_random,0.120,0.059764,38312,38249,15.5241,4.4731
Cluster3D_Hub_Z2,uniform_random,0.140,0.069472,44515,44462,15.7810,4.5222
Cluster3D_Hub_Z1,uniform_random,0.080,0.039822,25513,25486,13.8248,4.3267
Cluster3D_Hub_Z1,uniform_random,0.200,0.099561,63801,63719,14.5247,4.4817
Cluster3D_Hub_Z2,uniform_random,0.180,0.089612,57428,57352,16.8661,4.5890
Cluster3D_Hub_Z1,uniform_random,0.220,0.109562,70205,70120,14.7027,4.5084
Cluster3D_Hub_Z1,uniform_random,0.240,0.119611,76649,76551,14.9541,4.5332
Cluster3D_Hub_Z2,uniform_random,0.080,0.039822,25513,25486,15.1503,4.3819
Cluster3D_Hub_Z2,uniform_random,0.220,0.109531,70205,70100,18.7892,4.5480
Cluster3D_Hub_Z1,uniform_random,0.380,0.041566,27221,26602,2071.4216,4.9733
Cluster3D_Hub_Z2,uniform_random,0.240,0.109622,70752,70158,36.3701,4.5350
Cluster3D_Hub_Z2,uniform_random,0.020,0.009972,6387,6382,14.9727,4.3491
Cluster3D_Hub_Z1,uniform_random,0.260,0.129755,83161,83043,15.2447,4.5499
Sparse3D_Pillars_Z4,uniform_random,0.500,0.012672,8599,8110,3847.7596,4.5830
Cluster3D_Hub_Z2,uniform_random,0.300,0.031825,20921,20368,1546.1477,4.8941
Cluster3D_Hub_Z4,uniform_random,0.040,0.019673,12618,12591,17.5629,4.3614
Cluster3D_Hub_Z2,uniform_random,0.320,0.036170,23691,23149,1139.5666,4.7910
Cluster3D_Hub_Z2,uniform_random,0.200,0.099544,63801,63708,17.6262,4.5755
Cluster3D_Hub_Z2,uniform_random,0.260,0.036430,23854,23315,1729.8566,4.8400
Cluster3D_Hub_Z2,uniform_random,0.480,0.027853,18371,17826,2768.3969,4.8982
Cluster3D_Hub_Z2,uniform_random,0.420,0.022703,15174,14530,1674.0825,5.1605
Cluster3D_Hub_Z2,uniform_random,0.380,0.027905,18410,17859,2219.5924,4.9667
Cluster3D_Hub_Z2,uniform_random,0.460,0.024766,16455,15850,2004.8943,5.0700
Cluster3D_Hub_Z4,uniform_random,0.120,0.059722,38312,38222,21.3550,4.5751
Cluster3D_Hub_Z2,uniform_random,0.400,0.025314,16790,16201,2004.5347,5.0630
Cluster3D_Hub_Z1,uniform_random,0.500,0.039333,25725,25173,2307.9794,4.9431
Cluster3D_Hub_Z2,uniform_random,0.360,0.026437,17476,16920,1859.7499,4.9988
Cluster3D_Hub_Z2,uniform_random,0.160,0.079439,50920,50841,16.1360,4.5593
Cluster3D_Hub_Z4,uniform_random,0.180,0.021625,14474,13840,1568.9139,4.9080
Cluster3D_Hub_Z4,uniform_random,0.200,0.017895,12070,11453,1213.0772,5.0662
Cluster3D_Hub_Z4,uniform_random,0.020,0.009969,6387,6380,17.4981,4.3594
Cluster3D_Hub_Z4,uniform_random,0.220,0.018344,12336,11740,1364.8991,5.0213
Cluster3D_Hub_Z2,uniform_random,0.340,0.029805,19714,19075,1532.8290,4.9637
Cluster3D_Hub_Z4,uniform_random,0.320,0.022323,14927,14287,3150.2119,4.7793
Cluster3D_Hub_Z4,uniform_random,0.140,0.069409,44515,44422,25.3792,4.5362
Cluster3D_Hub_Z2,uniform_random,0.440,0.023689,15773,15161,1721.1481,5.1361
Hier3D_Chiplet_Z1,uniform_random,0.020,0.009972,6387,6382,13.4583,4.2013
Cluster3D_Hub_Z4,uniform_random,0.340,0.015634,10628,10006,1998.7740,5.0745
Hier3D_Chiplet_Z1,uniform_random,0.080,0.039820,25513,25485,13.5954,4.1956
Cluster3D_Hub_Z4,uniform_random,0.060,0.029861,19131,19111,17.9972,4.4718
Cluster3D_Hub_Z4,uniform_random,0.160,0.032531,21396,20820,944.9567,4.6455
Cluster3D_Hub_Z2,uniform_random,0.280,0.029942,19688,19163,1390.6801,4.9660
Hier3D_Chiplet_Z1,uniform_random,0.100,0.049889,31970,31929,13.6975,4.2152
Cluster3D_Hub_Z4,uniform_random,0.100,0.049862,31970,31912,19.4369,4.5936
Cluster3D_Hub_Z4,uniform_random,0.360,0.017398,11745,11135,2449.0129,4.9816
Hier3D_Chiplet_Z1,uniform_random,0.060,0.029870,19131,19117,13.6004,4.2201
Cluster3D_Hub_Z4,uniform_random,0.460,0.014412,9868,9224,2686.1873,5.1423
Cluster3D_Hub_Z4,uniform_random,0.260,0.017408,11742,11141,1835.4871,4.9495
Cluster3D_Hub_Z2,uniform_random,0.500,0.025664,16947,16425,2217.7757,4.9496
Cluster3D_Hub_Z4,uniform_random,0.440,0.017817,12001,11403,3130.4092,4.9614
